Date,Open,High,Low,Close,Adj Close,Volume
1996-12-16,7.597196,7.688404,7.392869,7.462167,4.281902,1066584
1996-12-17,7.425698,7.622745,7.370959,7.615466,4.369868,1052852
1996-12-18,7.626385,7.805162,7.527897,7.564366,4.340545,1332249
1996-12-19,7.535177,7.692044,7.535177,7.648295,4.388705,594524
1996-12-20,7.644655,7.735864,7.480438,7.516907,4.313313,763507
1996-12-23,7.553376,7.557087,7.480438,7.557087,4.336369,217464
1996-12-24,7.557087,7.557087,7.557087,7.557087,4.336369,0
1996-12-25,7.557087,7.557087,7.557087,7.557087,4.336369,0
1996-12-26,7.557087,7.557087,7.557087,7.557087,4.336369,0
1996-12-27,7.553376,7.589916,7.553376,7.571646,4.344724,72581
1996-12-30,7.571646,7.626385,7.546096,7.582565,4.350988,262722
1996-12-31,7.582565,7.582565,7.582565,7.582565,4.350988,0
1997-01-01,7.582565,7.582565,7.582565,7.582565,4.350988,0
1997-01-02,7.447608,7.681124,7.447608,7.553376,4.334239,596625
1997-01-03,7.589916,7.626385,7.542456,7.626385,4.376133,303917
1997-01-06,7.644655,7.790603,7.644655,7.757774,4.451526,752017
1997-01-07,7.684764,7.808802,7.670205,7.724873,4.432648,779761
1997-01-08,7.735864,7.881811,7.724873,7.845342,4.501774,783404
1997-01-09,7.874532,8.038749,7.717593,8.005849,4.593875,1266533
1997-01-10,8.035038,8.137237,7.881811,7.900081,4.533184,1014039
1997-01-13,8.009560,8.046029,7.892731,8.009560,4.596004,421337
1997-01-14,8.002209,8.002209,7.516907,7.743143,4.443130,1494086
1997-01-15,7.808802,7.991290,7.735864,7.947470,4.560377,1033376
1997-01-16,7.900081,8.137237,7.881811,7.998569,4.589698,676773
1997-01-17,8.027759,8.097129,8.024119,8.067939,4.629503,957011
1997-01-20,8.100768,8.206607,8.100768,8.129958,4.665091,808765
1997-01-21,8.129958,8.129958,8.129958,8.129958,4.665091,0
1997-01-22,8.392663,8.673639,8.392663,8.567801,4.916332,1730327
1997-01-23,8.538611,8.593350,8.403654,8.531331,4.895405,763927
1997-01-24,8.392663,8.465673,8.264986,8.392663,4.815835,861310
1997-01-27,8.356194,8.392663,8.064299,8.221166,4.717426,1075832
1997-01-28,8.137237,8.239436,8.038749,8.166427,4.686017,1255184
1997-01-29,8.100768,8.155508,7.998569,8.111688,4.654607,733802
1997-01-30,8.118967,8.118967,7.958460,8.046029,4.616931,826560
1997-01-31,8.027759,8.118967,7.936550,8.027759,4.606447,1210626
1997-02-03,8.100768,8.137237,8.027759,8.137237,4.669267,1775445
1997-02-04,8.155508,8.188337,8.031399,8.100768,4.648341,651832
1997-02-05,8.206607,8.571440,8.206607,8.520412,4.889139,2994478
1997-02-06,8.520412,8.520412,8.520412,8.520412,4.889139,0
1997-02-07,8.648090,8.713819,8.615260,8.713819,5.000119,184676
1997-02-10,8.721099,8.888957,8.629891,8.670000,4.974975,1035758
1997-02-11,8.615260,8.688270,8.611620,8.622540,4.947742,445297
1997-02-12,8.622540,8.622540,8.622540,8.622540,4.947742,0
1997-02-13,8.794037,8.808668,8.684559,8.739298,5.014738,1095448
1997-02-14,8.739298,8.757568,8.538611,8.575151,4.920549,697091
1997-02-17,8.721099,8.757568,8.392663,8.524052,4.891228,662481
1997-02-18,8.509422,8.600701,8.356194,8.480232,4.866082,605453
1997-02-19,8.297815,8.297815,8.297815,8.297815,4.761409,663742
1997-02-20,8.575151,8.575151,8.173706,8.429132,4.836762,616102
1997-02-21,8.301455,8.538611,8.283185,8.534971,4.897493,712644
1997-02-24,8.305095,8.483872,8.305095,8.403654,4.822142,191682
1997-02-25,8.502142,8.520412,8.330645,8.330645,4.780248,1081296
